新橋	1	undefined	undefined
代々木	2	undefined	undefined
新大宮	1	1	0
伊勢中川	2	1	1
大和朝倉	1	2	1
橿原神宮前	2	2	2
名張	1	8	2
大阪上本町	2	8	3
西田原本	1	9	3
近鉄名古屋	2	9	4
高見ノ里	1	10	4
大阪阿部野橋	2	10	5
松塚	1	11	5
京都	2	11	6
河内天美	1	13	6
鳥羽	2	13	7
川合高岡	1	24	7
宇治山田	2	24	23
学研北生駒	1	25	23
近鉄奈良	2	25	24
南生駒	1	26	24
賢島	2	26	39
津新町	1	27	39
吉野	2	27	54
新ノ口	1	28	54
王寺	2	28	55
近鉄新庄	1	29	55
湯の山温泉	2	29	56
今里	1	30	56
学研奈良登美ヶ丘	2	30	57
北田辺	1	34	57
河内長野	2	34	58
三日市	1	35	58
長田	2	35	59
近鉄弥富	1	36	59
新王寺	2	36	60
古市	1	37	60
内部	2	37	61
小倉	1	38	61
平田町	2	38	62
恩智	1	50	62
近鉄御所	2	50	63
磯山	1	57	63
天理	2	57	64
喜志	1	58	64
信貴山口	2	58	65
伊勢川島	1	59	65
柏原	2	59	66
真菅	1	60	66
大阪難波	2	60	68
北楠	1	61	68
西日野	2	61	69
河内山本	1	63	69
富雄	2	63	70
尼ヶ辻	1	64	70
当麻寺	2	64	71
畝傍御陵前	1	65	71
富野荘	2	64	85
近鉄富田	1	70	85
石切	2	70	86
藤井寺	1	74	86
鼓ヶ浦	2	66	98
俊徳道	1	71	98
高の原	2	71	107
尺土	1	78	106
滝谷不動	2	78	108
新石切	1	79	108
高角	2	79	113
阿倉川	1	81	113
鶴橋	2	81	114
米野	1	90	114
柳	2	89	117
桜井	1	90	117
生駒	2	87	134
ファミリー公園前	1	92	134
伊勢若松	2	92	137
前栽	1	93	137
河堀口	2	93	138
筒井	1	97	138
長太ノ浦	2	97	140
二階堂	1	98	140
柏原南口	2	98	141
布施	1	99	141
橿原神宮西口	2	99	142
平端	1	100	142
富田林西口	2	100	144
河内花園	1	106	144
但馬	2	106	149
小古曽	1	107	149
塩浜	2	106	152
佐味田川	1	1	0
伊勢中川	1	1	0
王寺	1	1	0
